m,n,k,time
500,800,700,1.26161
500,800,800,1.43714
500,800,900,1.58563
500,800,1000,1.83601
500,900,100,0.195476
500,900,200,0.40821199999999996
500,900,300,0.6211409999999999
500,900,400,0.818981
500,900,500,1.01227
500,900,600,1.1961400000000002
500,900,700,1.3896600000000001
500,900,800,1.61126
500,900,900,1.82734
500,900,1000,2.01341
500,1000,100,0.215411
500,1000,200,0.442394
500,1000,300,0.676691
500,1000,400,0.894428
500,1000,500,1.1058599999999998
500,1000,600,1.3502100000000001
500,1000,700,1.56402
500,1000,800,1.83049
500,1000,900,2.08791
500,1000,1000,2.26776
600,100,100,0.0269182
600,100,200,0.0499636
600,100,300,0.0748141
600,100,400,0.103866
600,100,500,0.135427
600,100,600,0.15466999999999997
600,100,700,0.182555
600,100,800,0.215891
600,100,900,0.23489500000000002
600,100,1000,0.259315
600,200,100,0.049210500000000004
600,200,200,0.10261400000000001
600,200,300,0.156079
600,200,400,0.204767
600,200,500,0.258579
600,200,600,0.31103800000000004
600,200,700,0.361307
600,200,800,0.43440300000000004
600,200,900,0.456721
600,200,1000,0.50239
600,300,100,0.07262529999999999
600,300,200,0.151248
600,300,300,0.229232
600,300,400,0.302705
600,300,500,0.38192200000000004
600,300,600,0.45086000000000004
600,300,700,0.534068
600,300,800,0.626208
600,300,900,0.687768
600,300,1000,0.760587
600,400,100,0.0999803
600,400,200,0.201954
600,400,300,0.306398
600,400,400,0.418684
600,400,500,0.509702
600,400,600,0.605326
600,400,700,0.716823
600,400,800,0.833406
600,400,900,0.927178
600,400,1000,1.02004
600,500,100,0.123944
600,500,200,0.254083
600,500,300,0.386376
600,500,400,0.5226280000000001
600,500,500,0.644357
600,500,600,0.7566090000000001
600,500,700,0.897156
600,500,800,1.0323099999999998
600,500,900,1.16571
600,500,1000,1.27311
600,600,100,0.149989
600,600,200,0.307984
600,600,300,0.48221499999999995
600,600,400,0.6404719999999999
600,600,500,0.7894260000000001
600,600,600,0.935339
600,600,700,1.11177
600,600,800,1.30057
600,600,900,1.45982
600,600,1000,1.57624
600,700,100,0.183567
600,700,200,0.373983
600,700,300,0.5753659999999999
600,700,400,0.7528400000000001
600,700,500,0.9510700000000001
600,700,600,1.14697
600,700,700,1.3645399999999999
600,700,800,1.5068199999999998
600,700,900,1.7786199999999999
600,700,1000,1.9212
600,800,100,0.21321600000000002
600,800,200,0.437992
600,800,300,0.65615
600,800,400,0.854548
600,800,500,1.07579
600,800,600,1.24569
600,800,700,1.4999500000000001
600,800,800,1.71865
600,800,900,1.98953
600,800,1000,2.22236
600,900,100,0.241216
600,900,200,0.492582
600,900,300,0.7434829999999999
600,900,400,0.976041
600,900,500,1.22603
600,900,600,1.47373
600,900,700,1.7302899999999999
600,900,800,1.98553
600,900,900,2.24256
600,900,1000,2.5108699999999997
600,1000,100,0.267309
600,1000,200,0.545059
600,1000,300,0.813665
600,1000,400,1.08997
600,1000,500,1.3476400000000002
600,1000,600,1.6086099999999999
600,1000,700,1.89506
600,1000,800,2.14093
600,1000,900,2.4877
600,1000,1000,2.69396
700,100,100,0.0294222
700,100,200,0.059122100000000004
700,100,300,0.0903277
700,100,400,0.125313
700,100,500,0.152713
700,100,600,0.18243700000000002
700,100,700,0.214504
700,100,800,0.243674
700,100,900,0.275506
700,100,1000,0.306802
700,200,100,0.0586479
700,200,200,0.125889
700,200,300,0.186508
700,200,400,0.241146
700,200,500,0.30471699999999996
700,200,600,0.364212
700,200,700,0.426928
700,200,800,0.502777
700,200,900,0.6159410000000001
700,200,1000,0.684545
700,300,100,0.095119
700,300,200,0.197056
700,300,300,0.278327
700,300,400,0.39033999999999996
700,300,500,0.517148
700,300,600,0.562509
700,300,700,0.778083
700,300,800,0.923276
700,300,900,1.13907
700,300,1000,1.12527
700,400,100,0.124139
700,400,200,0.252735
700,400,300,0.425413
700,400,400,0.575661
700,400,500,0.661616
700,400,600,0.776586
700,400,700,0.915115
700,400,800,1.1754200000000001
700,400,900,1.3562100000000001
700,400,1000,1.2584600000000001
700,500,100,0.152949
700,500,200,0.30610899999999996
700,500,300,0.483356
700,500,400,0.652358
700,500,500,0.782709
700,500,600,0.927562
700,500,700,1.1062400000000001
700,500,800,1.26751
700,500,900,1.44768
700,500,1000,1.7210699999999999
700,600,100,0.191922
700,600,200,0.387032
700,600,300,0.581021
700,600,400,0.857655
700,600,500,1.02647
700,600,600,1.13941
700,600,700,1.48163
700,600,800,1.83879
700,600,900,1.99457
700,600,1000,2.12222
700,700,100,0.215028
700,700,200,0.440873
700,700,300,0.7145170000000001
700,700,400,0.938868
700,700,500,1.18544
700,700,600,1.40202
700,700,700,1.66518
700,700,800,1.90977
700,700,900,2.6776799999999996
700,700,1000,2.58416
700,800,100,0.25444
700,800,200,0.5258039999999999
700,800,300,0.804178
700,800,400,1.12766
700,800,500,1.43903
700,800,600,1.72252
700,800,700,2.05255
700,800,800,2.3115799999999997
700,800,900,2.56552
700,800,1000,2.7023
700,900,100,0.284327
700,900,200,0.573551
700,900,300,0.901398
700,900,400,1.12688
700,900,500,1.40909
700,900,600,1.6854500000000001
700,900,700,1.9833399999999999
700,900,800,2.25589
700,900,900,2.50152
700,900,1000,2.7775700000000003
700,1000,100,0.300844
700,1000,200,0.6184400000000001
700,1000,300,0.932789
700,1000,400,1.2234
700,1000,500,1.517
700,1000,600,1.82657
700,1000,700,2.1634499999999997
700,1000,800,2.49032
700,1000,900,2.73671
700,1000,1000,3.15948
800,100,100,0.0343207
800,100,200,0.0679897
800,100,300,0.102705
800,100,400,0.14005
800,100,500,0.174906
800,100,600,0.207561
800,100,700,0.244417
800,100,800,0.276793
800,100,900,0.31386200000000003
800,100,1000,0.349215
800,200,100,0.0658978
800,200,200,0.138741
800,200,300,0.209052
800,200,400,0.275515
800,200,500,0.345358
800,200,600,0.41196499999999997
800,200,700,0.486016
800,200,800,0.573034
800,200,900,0.6349239999999999
800,200,1000,0.7003809999999999
800,300,100,0.10108400000000001
800,300,200,0.207937
800,300,300,0.317767
800,300,400,0.415352
800,300,500,0.527784
800,300,600,0.641721
800,300,700,0.7408060000000001
800,300,800,0.860213
800,300,900,0.951361
800,300,1000,1.0478699999999999
800,400,100,0.13795500000000002
800,400,200,0.279471
800,400,300,0.41435500000000003
800,400,400,0.551213
800,400,500,0.6845119999999999
800,400,600,0.816168
800,400,700,0.9775560000000001
800,400,800,1.1258800000000002
800,400,900,1.27101
800,400,1000,1.36826
800,500,100,0.16797900000000002
800,500,200,0.341957
800,500,300,0.523737
800,500,400,0.705399
800,500,500,0.8710650000000001
800,500,600,1.0336500000000002
800,500,700,1.2435699999999998
800,500,800,1.4187
800,500,900,1.59688
800,500,1000,1.69263
800,600,100,0.1996
800,600,200,0.40700400000000003
800,600,300,0.623887
800,600,400,0.8315009999999999
800,600,500,1.05224
800,600,600,1.2611700000000001
800,600,700,1.4766400000000002
800,600,800,1.70665
800,600,900,1.92279
800,600,1000,2.1014
800,700,100,0.24219200000000002
800,700,200,0.504205
800,700,300,0.758749
800,700,400,1.0055800000000001
800,700,500,1.26743
800,700,600,1.51209
800,700,700,1.8028499999999998
800,700,800,1.9670699999999999
800,700,900,2.30129
800,700,1000,2.50468
800,800,100,0.275766
800,800,200,0.5619120000000001
800,800,300,0.8538020000000001
800,800,400,1.12064
800,800,500,1.42926
800,800,600,1.70798
800,800,700,2.01173
800,800,800,2.31297
800,800,900,2.62994
800,800,1000,2.88702
800,900,100,0.31770800000000005
800,900,200,0.6579510000000001
800,900,300,0.982758
800,900,400,1.2770599999999999
800,900,500,1.57843
800,900,600,1.88488
800,900,700,2.26317
800,900,800,2.62612
800,900,900,2.92904
800,900,1000,3.24228
800,1000,100,0.35424500000000003
800,1000,200,0.719035
800,1000,300,1.06699
800,1000,400,1.39191
800,1000,500,1.7542200000000001
800,1000,600,2.1230900000000004
800,1000,700,2.52203
800,1000,800,2.88702
800,1000,900,3.3159
800,1000,1000,3.6394499999999996
900,100,100,0.037014000000000005
900,100,200,0.0744651
900,100,300,0.111837
900,100,400,0.158675
900,100,500,0.198117
900,100,600,0.235906
900,100,700,0.280156
900,100,800,0.32219
900,100,900,0.356177
900,100,1000,0.390608
900,200,100,0.0718203
900,200,200,0.150555
900,200,300,0.230129
900,200,400,0.299545
900,200,500,0.377039
900,200,600,0.46045600000000003
900,200,700,0.536961
900,200,800,0.6332000000000001
900,200,900,0.7064900000000001
900,200,1000,0.78872
900,300,100,0.112241
900,300,200,0.23450800000000002
900,300,300,0.353025
900,300,400,0.466778
900,300,500,0.5820259999999999
900,300,600,0.695489
900,300,700,0.813215
900,300,800,0.9449679999999999
900,300,900,1.03763
900,300,1000,1.14801
900,400,100,0.15175
900,400,200,0.313077
900,400,300,0.45961900000000006
900,400,400,0.641204
900,400,500,0.793947
900,400,600,0.930298
900,400,700,1.11128
900,400,800,1.23951
900,400,900,1.38851
900,400,1000,1.5199
900,500,100,0.18823099999999998
900,500,200,0.386488
900,500,300,0.580699
900,500,400,0.7837949999999999
900,500,500,0.983328
900,500,600,1.1649800000000001
900,500,700,1.36174
900,500,800,1.59856
900,500,900,1.79131
900,500,1000,1.91529
900,600,100,0.22596100000000002
900,600,200,0.460725
900,600,300,0.707773
900,600,400,0.9543579999999999
900,600,500,1.19527
900,600,600,1.40396
900,600,700,1.66724
900,600,800,1.91925
900,600,900,2.16731
900,600,1000,2.37794
900,700,100,0.26663400000000004
900,700,200,0.560126
900,700,300,0.865115
900,700,400,1.1274300000000002
900,700,500,1.40305
900,700,600,1.69045
900,700,700,2.03255
900,700,800,2.25852
900,700,900,2.63549
900,700,1000,2.80827
900,800,100,0.318913
900,800,200,0.650383
900,800,300,0.969176
900,800,400,1.28549
900,800,500,1.6208399999999998
900,800,600,1.91405
900,800,700,2.2650300000000003
900,800,800,2.5896
900,800,900,2.90484
900,800,1000,3.2583200000000003
900,900,100,0.359204
900,900,200,0.727982
900,900,300,1.09901
900,900,400,1.44285
900,900,500,1.81921
900,900,600,2.19119
900,900,700,2.53241
900,900,800,2.88931
900,900,900,3.31332
900,900,1000,3.7236100000000003
900,1000,100,0.395569
900,1000,200,0.8097530000000001
900,1000,300,1.21517
900,1000,400,1.57288
900,1000,500,1.96546
900,1000,600,2.39327
900,1000,700,2.85373
900,1000,800,3.2432399999999997
900,1000,900,3.68107
900,1000,1000,4.05184
1000,100,100,0.0427988
1000,100,200,0.0842453
1000,100,300,0.1274
1000,100,400,0.17267
1000,100,500,0.215508
1000,100,600,0.25746800000000003
1000,100,700,0.30488
1000,100,800,0.34275900000000004
1000,100,900,0.388594
1000,100,1000,0.428811
1000,200,100,0.08228619999999999
1000,200,200,0.172433
1000,200,300,0.25967
